class,precision,recall,f1,support
0_10d,0.9826589595375722,0.8900523560209425,0.9340659340659341,191
11_20d,0.9024390243902439,0.9068627450980392,0.9046454767726161,204
21_30d,0.8811188811188811,0.9264705882352942,0.9032258064516129,136
2m,0.9035532994923858,0.9175257731958762,0.9104859335038363,194
3m,0.8693181818181818,0.9161676646706587,0.892128279883382,167
4m,0.9205607476635514,0.8954545454545455,0.9078341013824884,220
5m,0.8705882352941177,0.8268156424581006,0.8481375358166189,179
6m,0.8442622950819673,0.9155555555555556,0.8784648187633263,225
7m,0.8826530612244898,0.8606965174129353,0.871536523929471,201
8m,0.7614213197969543,0.8287292817679558,0.7936507936507936,181
9m,0.8256880733944955,0.8910891089108911,0.8571428571428571,202
10m,0.9207317073170732,0.8031914893617021,0.8579545454545454,188
11m,0.8592964824120602,0.8769230769230769,0.868020304568528,195
12m,0.8877005347593583,0.83,0.8578811369509044,200
